Text	Channel
"""The condition of the prime minister has worsened and, on the advice of his medical team, he has been moved to the"	NDTV
New York's Bronx zoo tiger tests positive for #coronavirus	NDTV
"""Faithfully"" completed duties, says US intelligence official fired by Trump"	NDTV
UK Prime Minister Boris Johnson taken to intensive care unit for COVID-19 treatment 	NDTV
700 New COVID-19 Cases In 24 Hours, Deaths Cross 100: 10 Points 	NDTV
Another Doctor, 11 Nurses Test Coronavirus+ At Locked Down Delhi Hospital 	NDTV
"""Hang in there, Prime Minister Boris Johnson! Hope to see you out of hospital and in perfect health very soon"": PM"	NDTV
"Delhi lab chain offers ""drive through"" #coronavirus test "	NDTV
New Wave Of Virus Infections In China With Sharp Rise In Imported Cases 	NDTV
"Assam considering ""entry passes"" to regulate influx after lockdown ends "	NDTV
After Trump call, Health Ministry questions malaria drug use for #COVID19 	NDTV
Another doctor, 11 nurses test #coronavirus positive at locked down Delhi hospital 	NDTV
"Odisha Maoists announce ""ceasefire"", request #COVID19 aid for villagers "	NDTV
RT @Sports_NDTV: #SonHeungmin returned to Asia recently after the #PremierLeague was postponed because of the coronavirus and is in a two-w	NDTV
Surat doctor assaulted by neighbours for treating #COVID19 patients 	NDTV
Scrap Rs 20,000 crore parliament project, says Congress MP 	NDTV
"Watch | ""Children don\'t have enough to eat,"" say migrant labourers battling crisis amid #coronavirus lockdown."	NDTV
"Watch on @LRC_NDTV | ""In some pockets - the so called hotspots - there is a suspicion that there may be community t"	NDTV
Watch on @LRC_NDTV | Maharashtra Health Minister Rajesh Tope on whether #CoronavirusLockdown should be extended. 	NDTV
Watch on @LRC_NDTV | Raghu Sharma, Health Minister, Rajasthan on how #COVID19 cases were largely restricted to Bhil	NDTV
"Watch on @LRC_NDTV | ""Global economic activity has fallen off the cliff,"" says Piyush Gupta, CEO, DBS Bank on impac"	NDTV
US #coronavirus deaths top 10,000: Johns Hopkins tracker(Source: news agency AFP)#COVID19 #CoronavirusOutbreak #CoronavirusPandemic'	NDTV
"#Watch | ""The elderly should be kept away and the workforce allowed to move"": Dr Jayaprakash Muliyil, Ex Principal,"	NDTV
Coronavirus - Islamic Sect Members Hiding In Assam To Be Charged With Culpable Homicide 	NDTV
"#Watch | ""We should see a distinct change in the (coronavirus) curve tomorrow onwards"": Dr VK Paul, Member, NITI Aa"	NDTV
Top stories now on 	NDTV
RT @NDTVFood: Lockdown Snack: This Gift Wrapped Samosa Is Sure To Excite Your Kids (Watch Recipe Video)	NDTV
RT @NDTVFood: Raw Mango Rasam: Welcome The Summer With This South Indian Soup (Recipe Video Inside)	NDTV
#Watch | As the total number of #COVID19 cases in India crosses the 4,000-mark, NDTV takes a look at what it indica	NDTV
"""Masks are no silver bullet"": WHO seeks multiple approaches on #COVID19 "	NDTV
UN urges countries to extend care to all migrants to combat #coronavirus 	NDTV
March 2020 among hottest on record: European Union 	NDTV
RT @Sports_NDTV: The 149th Open was scheduled to take place at Royal St George's Golf Club in Kent in July#CoronavirusPandemic#COVID19Pa	NDTV
Delhi cops plan cases against #TablighiJamaat members for hiding info 	NDTV
Islamic sect members hiding in Assam to be charged with culpable homicide 	NDTV
RT @NDTVFood: Readers' Choice: Missing Your Favourite Foods During Lockdown? Here Are Some Recipes For You	NDTV
RT @NDTVFood: How To Make Restaurant-Style Basil Pesto Sauce At Home (Recipe Inside)	NDTV
First #COVID19 case in #Tripura. Patient is from Udaipur in Rajasthan.#CoronavirusOutbreak #CoronavirusPandemic #COVID19India'	NDTV
Maharashtra Health Minister Rajesh Tope said most of the #COVID19 cases are from outside the state. @LRC_NDTV	NDTV
RT @Sports_NDTV: #NovakDjokovic and #RafaelNadal could be set to face each other online after the cancelled #MadridOpen tennis tournament a	NDTV
India between stage 2 and 3 of #COVID19 pandemic: Health Ministry 	NDTV
Coronavirus - India Likely To Clear Key Drug Hydroxychloroquine Export Amid Global Pressure 	NDTV
In a first, US designates white supremacists as foreign terrorist group 	NDTV
Case against Maharashtra BJP MLA for distributing ration amid lockdown 	NDTV
Top stories now on 	NDTV
Maharashtra Health Minister Rajesh Tope on improving rate of recovery @LRC_NDTV  #COVID19 #CoronavirusOutbreak	NDTV
Maharashtra Health Minister Rajesh Tope on extension of #CoronavirusLockdown @LRC_NDTV  #COVID19	NDTV
RT @carandbike: Design for the ventilators relies heavily on Tesla car parts, one of the engineers said, enabling the company to redeploy e	NDTV
RT @carandbike: For the first time ever, #WorldCarAwards ceremony will be held digitally. Here's Why -#2020WorldCarAwards #WCOTY 	NDTV
